GRAPHEME	FROM_PHONATION	FROM_PLACE	FROM_MANNER	TO_PHONATION	TO_PLACE	TO_MANNER	ALIAS	EXTRA	NOTE
d̪̈ʛ	from_breathy-voiced	from_dental	from_plosive	to_voiced	to_uvular	to_implosive			
d̪̈ʛ̥	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_uvular	to_implosive			
d̪̈ʡ	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_epiglottal	to_plosive			
d̰b	from_creaky-voiced	from_alveolar	from_plosive	to_voiced	to_bilabial	to_plosive			
d̰b̤	from_creaky-voiced	from_alveolar	from_plosive	to_breathy-voiced	to_bilabial	to_plosive			
d̰b̥	from_creaky-voiced	from_alveolar	from_plosive	to_devoiced	to_bilabial	to_plosive			
d̰c	from_creaky-voiced	from_alveolar	from_plosive	to_voiceless	to_palatal	to_plosive			
d̰cʼ	from_creaky-voiced	from_alveolar	from_plosive	to_voiceless	to_palatal	to_plosive		to_ejection:to_ejective	
d̰d	from_creaky-voiced	from_alveolar	from_plosive	to_voiced	to_alveolar	to_plosive			
d̰d̠	from_creaky-voiced	from_alveolar	from_plosive	to_voiced	to_postalveolar	to_plosive			
d̰d̤	from_creaky-voiced	from_alveolar	from_plosive	to_breathy-voiced	to_alveolar	to_plosive			
d̰d̪	from_creaky-voiced	from_alveolar	from_plosive	to_voiced	to_dental	to_plosive			
d̰d̪̈	from_creaky-voiced	from_alveolar	from_plosive	to_breathy-voiced	to_dental	to_plosive			
d̰d̻	from_creaky-voiced	from_alveolar	from_plosive	to_voiced	to_lamino-dental	to_plosive			
d̰g	from_creaky-voiced	from_alveolar	from_plosive	to_voiced	to_velar	to_plosive			
d̰g̈	from_creaky-voiced	from_alveolar	from_plosive	to_breathy-voiced	to_velar	to_plosive			
d̰g̊	from_creaky-voiced	from_alveolar	from_plosive	to_devoiced	to_velar	to_plosive			
d̰k	from_creaky-voiced	from_alveolar	from_plosive	to_voiceless	to_velar	to_plosive			
d̰kʼ	from_creaky-voiced	from_alveolar	from_plosive	to_voiceless	to_velar	to_plosive		to_ejection:to_ejective	
d̰p	from_creaky-voiced	from_alveolar	from_plosive	to_voiceless	to_bilabial	to_plosive			
d̰pʼ	from_creaky-voiced	from_alveolar	from_plosive	to_voiceless	to_bilabial	to_plosive		to_ejection:to_ejective	
d̰q	from_creaky-voiced	from_alveolar	from_plosive	to_voiceless	to_uvular	to_plosive			
d̰qʼ	from_creaky-voiced	from_alveolar	from_plosive	to_voiceless	to_uvular	to_plosive		to_ejection:to_ejective	
