CLTS_NAME	BIPA_GRAPHEME	EURASIAN_URL	EURASIAN_GRAPHEME
near-front unrounded near-close near-front vowel	ɪ	http://eurasianphonology.info/search_exact?dialects=True&query=ɪ	ɪ
near-front creaky unrounded near-close near-front vowel	ɪ̰	http://eurasianphonology.info/search_exact?dialects=True&query=ɪ̰	ɪ̰
long near-front unrounded near-close near-front vowel	ɪː	http://eurasianphonology.info/search_exact?dialects=True&query=ɪː	ɪː
voiced bilabial fricative consonant	β	http://eurasianphonology.info/search_exact?dialects=True&query=β	β
voiceless dental sibilant fricative consonant	s̪	http://eurasianphonology.info/search_exact?dialects=True&query=s̪	s̪
voiced dental sibilant fricative consonant	z̪	http://eurasianphonology.info/search_exact?dialects=True&query=z̪	z̪
voiceless dental lateral fricative consonant	ɬ̪	http://eurasianphonology.info/search_exact?dialects=True&query=ɬ̪	ɬ̪
voiced dental trill consonant	r̪	http://eurasianphonology.info/search_exact?dialects=True&query=r̪	r̪
long back rounded open-mid back vowel	ɔː	http://eurasianphonology.info/search_exact?dialects=True&query=ɔː	ɔː
long back nasalized rounded open-mid back vowel	ɔ̃ː	http://eurasianphonology.info/search_exact?dialects=True&query=ɔ̃ː	ɔ̃ː
