CLTS_NAME	BIPA_GRAPHEME	ID	GRAPHEME	FEATURES
from unrounded close central to unrounded open front diphthong	ɨa	4959	ɨa	diphtong high low central unrounded lowering
from unrounded close front to unrounded open front diphthong	ia	4960	ia	diphtong high low front central unrounded lowering backing
from rounded close back to unrounded open front diphthong	ua	4961	ua	diphtong high low central back unrounded rounded lowering fronting unrounding
creaky voiced palatal approximant consonant	j̰	4972	j̰	pulmonic approximant voiced laryngealized palatal
creaky voiced labialized-velar approximant consonant	w̰	4975	w̰	pulmonic approximant voiced laryngealized bilabial velar
from rounded close back to unrounded mid central diphthong	uə	4977	uə	diphtong high higher mid central back unrounded rounded lowering fronting unrounding
long advanced unrounded open front vowel	a̟ː	4982	a̟ː	long low front unrounded
long unrounded mid central vowel	əː	4986	əː	long higher mid central unrounded
long unrounded close back vowel	ɯː	4989	ɯː	long high back unrounded
aspirated voiceless palatal stop consonant	cʰ	4990	cʰ	pulmonic stop aspirated voiceless palatal
velarized voiced alveolar lateral approximant consonant	lˠ	4992	lˠ	pulmonic approximant lateral voiced velarized alveolar
devoiced voiced retroflex tap consonant	ɽ̥	4994	ɽ̥	pulmonic tap/flap voiceless retroflex
voiceless alveolar stop consonant	t	5	t	pulmonic stop voiceless alveolar
voiceless palatal sibilant fricative consonant	ç	50	ç	pulmonic fricative voiceless palatal
long nasalized unrounded open back vowel	ɑ̃ː	5032	ɑ̃ː	nasalized long low back unrounded
nasalized unrounded open back vowel	ɑ̃	5033	ɑ̃	nasalized low back unrounded
long unrounded open back vowel	ɑː	5034	ɑː	long low back unrounded
voiced palatal fricative consonant	ʝ	51	ʝ	pulmonic fricative voiced palatal
from rounded near-close near-back to unrounded close front diphthong	ʊi	5120	ʊi	diphtong high lowered high front back unrounded rounded rising fronting unrounding
voiceless dental stop consonant	t̪	5127	t̪	pulmonic stop voiceless dental
voiceless velar fricative consonant	x	52	x	pulmonic fricative voiceless velar
advanced unrounded open front vowel	a̟	5210	a̟	low front unrounded
labialized voiceless velar ejective fricative consonant	x’ʷ	5258	xʷʼ	ejective fricative labialized velar
labialized voiceless uvular ejective fricative consonant	χ’ʷ	5259	χʷʼ	ejective fricative labialized uvular
labialized voiceless bilabial fricative consonant	ɸʷ	5260	ɸʷ	pulmonic fricative voiceless labialized bilabial
long unrounded close central vowel	ɨː	5297	ɨː	long high central unrounded
voiced velar fricative consonant	ɣ	53	ɣ	pulmonic fricative voiced velar
long nasalized rounded open-mid back vowel	ɔ̃ː	5303	ɔ̃ː	nasalized long lower mid back rounded
long rounded open-mid back vowel	ɔː	5304	ɔː	long lower mid back rounded
long nasalized unrounded open-mid front vowel	ɛ̃ː	5305	ɛ̃ː	nasalized long lower mid front unrounded
long unrounded open-mid front vowel	ɛː	5306	ɛː	long lower mid front unrounded
nasalized unrounded open-mid central vowel	ɜ̃	5307	ɜ̃	nasalized lower mid central unrounded
long nasalized unrounded close central vowel	ɨ̃ː	5308	ɨ̃ː	nasalized long high central unrounded
aspirated voiceless retroflex stop consonant	ʈʰ	5320	ʈʰ	pulmonic stop aspirated voiceless retroflex
from voiceless post-alveolar stop to voiceless alveolo-palatal sibilant fricative cluster	t̠ɕ	5323	t̠ɕ	pulmonic affricate sibilant voiceless palatalized palato-alveolar
