CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	IMAGE	SOUND	FEATURES
voiced epiglottal fricative consonant	ʢ	ʢ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-174.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_epiglottal_fricative.mp3	a voiced epiglottal fricative or approximant
from voiceless velar stop to voiceless bilabial stop cluster	kp	kp	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-433.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/kp_affricate.mp3	an affricated kp
voiceless alveolar sibilant affricate consonant	ts	ts	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-103-132-509.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/ts_affricate.mp3	an affricated ts
voiceless epiglottal stop consonant	ʡ	ʡ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-173.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/epiglottal_plosive.mp3	an epiglottal plosive
devoiced voiced alveolar nasal consonant	n̥	n̥	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-116-402A.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/devoiced_V_alveolar_nasal.mp3	a devoiced voiced alveolar nasal
devoiced voiced alveolar stop consonant	d̥	d̥	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-104-402A.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/devoiced_V_alveolar_plosive.mp3	a devoiced voiced alveolar plosive
breathy voiced bilabial stop consonant	bʱ	bʱ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-102-405.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/breathy-voiced_bilabial_plosive.mp3	a breathy voiced bilabial plosive
breathy unrounded open front vowel	a̤	a̤	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-304-405.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/breathy-voiced_open_front_unrounded.mp3	a breathy voiced open front unrounded vowel
voiceless dental stop consonant	t̪	t̪	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-103-408.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/dentalized_VL_alveolar_plosive.mp3	a dentalized voiceless alveolar plosive
voiced dental stop consonant	d̪	d̪	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-104-408.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/dentalized_V_alveolar_plosive.mp3	a dentalized voiced alveolar plosive
revoiced voiceless alveolar sibilant fricative consonant	s̬	s̬	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-132-403.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/voiced_VL_alveolar_fricative.mp3	a voiced voiceless alveolar fricative
revoiced voiceless alveolar stop consonant	t̬	t̬	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-103-403.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/voiced_VL_alveolar_plosive.mp3	a voiced voiceless alveolar plosive
creaky voiced bilabial stop consonant	b̰	b̰	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-102-406.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/creaky-voiced_V_bilabial_plosive.mp3	a creaky voiced voiced bilabial plosive
creaky unrounded open front vowel	a̰	a̰	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-304-406.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/creaky-voiced_open_front_unrounded.mp3	a creaky voiced open front unrounded vowel
voiceless apical alveolar stop consonant	t̺	t̺	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-103-409.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/apical_VL_alveolar_plosive.mp3	an apical voiceless alveolar plosive
voiced apical alveolar stop consonant	d̺	d̺	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-104-409.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/apical_V_alveolar_plosive.mp3	an apical voiced alveolar plosive
aspirated voiceless alveolar stop consonant	tʰ	tʰ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-103-404.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/aspirated_VL_alveolar_plosive.mp3	an aspirated voiceless alveolar plosive
aspirated voiced alveolar stop consonant	dʰ	dʰ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-104-404.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/aspirated_V_alveolar_plosive.mp3	an aspirated voiced alveolar plosive
voiceless laminal alveolar stop consonant	t̻	t̻	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-103-410.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/laminal_VL_alveolar_plosive.mp3	a laminal voiceless alveolar plosive
voiced laminal alveolar stop consonant	d̻	d̻	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-104-410.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/laminal_V_alveolar_plosive.mp3	a laminal voiced alveolar plosive
more-rounded rounded open-mid back vowel	ɔ̹	ɔ̹	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-306-411.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/more-rounded_open-mid_back_rounded .mp3	a more rounded open-mid back rounded vowel
labialized voiceless alveolar stop consonant	tʷ	tʷ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-103-420.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/labialized_VL_alveolar_plosive.mp3	a labialized voiceless alveolar plosive
labialized voiced alveolar stop consonant	dʷ	dʷ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-104-420.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/labialized_V_alveolar_plosive.mp3	a labialized voiced alveolar plosive
