CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	LATEX	FEATURES
syllabic palatalized devoiced voiced velar nasal consonant	ŋ̩̥ʲ	ŋ̥̩ʲ	*\textipa{\sN}\super j	nasal::velar, palatal::−voice +nasal +syllabic
syllabic palatalized devoiced voiced uvular nasal consonant	ɴ̩̥ʲ	ɴ̥̩ʲ	\textipa{\s{ *\textscn}}\super j	nasal::uvular, palatal::−voice +nasal +syllabic
labialized voiceless bilabial stop consonant	pʷ	pʷ	p\super w	plosive::labial::−voice
labialized voiced bilabial stop consonant	bʷ	bʷ	b\super w	plosive::labial::+voice
labialized voiced bilabial implosive consonant	ɓʷ	ɓʷ	\texthtb\super w	plosive::labial::+voice
labialized voiceless bilabial fricative consonant	ɸʷ	ɸʷ	\textipa{F}\super w	fricative::labial::−voice
labialized voiced bilabial fricative consonant	βʷ	βʷ	\textipa{B}\super w	fricative::labial::+voice
labialized voiced bilabial nasal consonant	mʷ	mʷ	m\super w	nasal::labial::+voice +nasal
labialized voiceless labio-dental fricative consonant	fʷ	fʷ	f\super w	fricative::labiodental, labial::−voice
labialized voiced labio-dental fricative consonant	vʷ	vʷ	v\super w	fricative::labiodental, labial::+voice
labialized voiced labio-dental nasal consonant	ɱʷ	ɱʷ	\textltailm\super w	nasal::labiodental, labial::+voice +nasal
labialized voiced dental implosive consonant	ɗʷ	ɗʷ	\texthtd\super w	plosive::dental, labial::+voice
labialized voiceless dental fricative consonant	θʷ	θʷ	\textipa{T}\super w	fricative::dental, labial::−voice
labialized voiced dental fricative consonant	ðʷ	ðʷ	\textipa{D}\super w	fricative::dental, labial::+voice
labialized voiceless alveolar stop consonant	tʷ	tʷ	t\super w	plosive::alveolar, labial::−voice
labialized voiced alveolar stop consonant	dʷ	dʷ	d\super w	plosive::alveolar, labial::+voice
labialized voiceless alveolar sibilant fricative consonant	sʷ	sʷ	s\super w	fricative::alveolar, labial::−voice
labialized voiced alveolar sibilant fricative consonant	zʷ	zʷ	z\super w	fricative::alveolar, labial::+voice
labialized voiceless alveolar lateral fricative consonant	ɬʷ	ɬʷ	\textbeltl\super w	fricative::alveolar, labial::+voice +lateral
labialized voiced alveolar lateral fricative consonant	ɮʷ	ɮʷ	\textlyoghlig\super w	fricative::alveolar, labial::+voice +lateral
labialized voiced alveolar nasal consonant	nʷ	nʷ	n\super w	nasal::alveolar, labial::+voice +nasal
labialized voiceless post-alveolar sibilant fricative consonant	ʃʷ	ʃʷ	\textipa{S}\super w	fricative::palatoalveolar, labial::−voice
labialized voiced post-alveolar sibilant fricative consonant	ʒʷ	ʒʷ	\textyogh\super w	fricative::palatoalveolar, labial::+voice
labialized voiceless retroflex stop consonant	ʈʷ	ʈʷ	\textrtailt\super w	plosive::retroflex, labial::−voice
labialized voiced retroflex stop consonant	ɖʷ	ɖʷ	\textrtaild\super w	plosive::retroflex, labial::+voice
labialized voiceless retroflex sibilant fricative consonant	ʂʷ	ʂʷ	\textrtails\super w	fricative::retroflex, labial::−voice
labialized voiced retroflex sibilant fricative consonant	ʐʷ	ʐʷ	\textrtailz\super w	fricative::retroflex, labial::+voice
labialized voiced retroflex nasal consonant	ɳʷ	ɳʷ	\:n\super w	nasal::retroflex, labial::+voice +nasal
labialized voiceless palatal stop consonant	cʷ	cʷ	c\super w	plosive::palatal, labial::−voice
labialized voiced palatal stop consonant	ɟʷ	ɟʷ	\textbardotlessj\super w	plosive::palatal, labial::+voice
labialized voiceless palatal sibilant fricative consonant	çʷ	çʷ	\c{c}\super w	fricative::palatal, labial::−voice
labialized voiced palatal fricative consonant	ʝʷ	ʝʷ	\textctj\super w	fricative::palatal, labial::+voice
labialized voiced palatal nasal consonant	ɲʷ	ɲʷ	\textltailn\super w	nasal::palatal, labial::+voice +nasal
labialized voiceless velar stop consonant	kʷ	kʷ	k\super w	plosive::velar, labial::−voice
labialized voiced velar stop consonant	gʷ	ɡʷ	ɡ\super w	plosive::velar, labial::+voice
labialized voiced velar implosive consonant	ɠʷ	ɠʷ	\texthtg\super w	plosive::velar, labial::+voice
labialized voiceless velar fricative consonant	xʷ	xʷ	x\super w	fricative::velar, labial::−voice
labialized voiced velar fricative consonant	ɣʷ	ɣʷ	\textipa{G}\super w	fricative::velar, labial::+voice
labialized voiced velar nasal consonant	ŋʷ	ŋʷ	\textipa{N}\super w	nasal::velar, labial::+voice +nasal
labialized voiceless uvular stop consonant	qʷ	qʷ	q\super w	plosive::uvular, labial::−voice
labialized voiced uvular stop consonant	ɢʷ	ɢʷ	\textscg\super w	plosive::uvular, labial::+voice
labialized voiced uvular implosive consonant	ʛʷ	ʛʷ	\texthtscg\super w	plosive::uvular, labial::+voice
labialized voiceless uvular fricative consonant	χʷ	χʷ	\textchi\super w	fricative::uvular, labial::−voice
labialized voiced uvular fricative consonant	ʁʷ	ʁʷ	\textipa{K}\super w	fricative::uvular, labial::+voice
labialized voiced uvular nasal consonant	ɴʷ	ɴʷ	\textscn\super w	nasal::uvular, labial::+voice +nasal
labialized voiced pharyngeal fricative consonant	ʕʷ	ʕʷ	\textrevglotstop\super w	fricative::pharyngeal, labial::+voice
labialized voiceless pharyngeal fricative consonant	ħʷ	ħʷ	\textcrh\super w	fricative::pharyngeal, labial::−voice
labialized voiceless glottal stop consonant	ʔʷ	ʔʷ	\textglotstop\super w	plosive::glottal, labial::−voice
labialized voiceless glottal fricative consonant	hʷ	hʷ	h\super w	fricative::glottal, labial::−voice
labialized voiced glottal fricative consonant	ɦʷ	ɦʷ	\texthth\super w	fricative::glottal, labial::+voice
labialized devoiced voiced bilabial nasal consonant	m̥ʷ	m̥ʷ	*m\super w	nasal::labial::−voice +nasal
labialized devoiced voiced labio-dental nasal consonant	ɱ̥ʷ	ɱ̥ʷ	*\textltailm\super w	nasal::labiodental, labial::−voice +nasal
labialized devoiced voiced alveolar nasal consonant	n̥ʷ	n̥ʷ	*n\super w	nasal::alveolar, labial::−voice +nasal
labialized devoiced voiced retroflex nasal consonant	ɳ̥ʷ	ɳ̥ʷ	*\:n\super w	nasal::retroflex, labial::−voice +nasal
labialized devoiced voiced palatal nasal consonant	ɲ̥ʷ	ɲ̥ʷ	*\textltailn\super w	nasal::palatal, labial::−voice +nasal
labialized devoiced voiced velar nasal consonant	ŋ̥ʷ	ŋ̥ʷ	*\textipa{N}\super w	nasal::velar, labial::−voice +nasal
labialized devoiced voiced uvular nasal consonant	ɴ̥ʷ	ɴ̥ʷ	*\textscn\super w	nasal::uvular, labial::−voice +nasal
labialized aspirated voiceless bilabial stop consonant	pʷʰ	pʰʷ	p extsuperscript{h}\super w	plosive::labial::−voice +spread glottis
labialized aspirated voiced bilabial stop consonant	bʷʰ	bʰʷ	b extsuperscript{h}\super w	plosive::labial::+voice +spread glottis
labialized aspirated voiced bilabial implosive consonant	ɓʷʰ	ɓʰʷ	\texthtb extsuperscript{h}\super w	plosive::labial::+voice +spread glottis
labialized aspirated voiced bilabial nasal consonant	mʷʰ	mʰʷ	m extsuperscript{h}\super w	nasal::labial::+voice +nasal +spread glottis
labialized aspirated voiced labio-dental nasal consonant	ɱʷʰ	ɱʰʷ	\textltailm extsuperscript{h}\super w	nasal::labiodental, labial::+voice +nasal +spread glottis
labialized aspirated voiced dental implosive consonant	ɗʷʰ	ɗʰʷ	\texthtd extsuperscript{h}\super w	plosive::dental, labial::+voice +spread glottis
labialized aspirated voiceless alveolar stop consonant	tʷʰ	tʰʷ	t extsuperscript{h}\super w	plosive::alveolar, labial::−voice +spread glottis
labialized aspirated voiced alveolar stop consonant	dʷʰ	dʰʷ	d extsuperscript{h}\super w	plosive::alveolar, labial::+voice +spread glottis
labialized aspirated voiced alveolar nasal consonant	nʷʰ	nʰʷ	n extsuperscript{h}\super w	nasal::alveolar, labial::+voice +nasal +spread glottis
labialized aspirated voiceless retroflex stop consonant	ʈʷʰ	ʈʰʷ	\textrtailt extsuperscript{h}\super w	plosive::retroflex, labial::−voice +spread glottis
labialized aspirated voiced retroflex stop consonant	ɖʷʰ	ɖʰʷ	\textrtaild extsuperscript{h}\super w	plosive::retroflex, labial::+voice +spread glottis
labialized aspirated voiced retroflex nasal consonant	ɳʷʰ	ɳʰʷ	\:n extsuperscript{h}\super w	nasal::retroflex, labial::+voice +nasal +spread glottis
labialized aspirated voiceless palatal stop consonant	cʷʰ	cʰʷ	c extsuperscript{h}\super w	plosive::palatal, labial::−voice +spread glottis
